MinTemp,MaxTemp,Sunshine,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
8,24.3,6.3,68,29,7,7,14.4,23.6,0
14,26.9,9.7,80,36,5,3,17.5,25.7,1
13.7,23.4,3.3,82,69,8,7,15.4,20.2,1
13.3,15.5,9.1,62,56,2,7,13.5,14.1,1
7.6,16.1,10.6,68,49,7,7,11.1,15.4,1
6.2,16.9,8.2,70,57,7,5,10.9,14.8,0
6.1,18.2,8.4,63,47,4,6,12.4,17.3,0
8.3,17,4.6,65,57,6,7,12.1,15.5,0
8.8,19.5,4.1,70,48,7,7,14.1,18.9,0
8.4,22.8,7.7,82,32,7,1,13.3,21.7,1
9.1,25.2,11.9,74,34,1,2,14.6,24,0
8.5,27.3,12.5,54,35,0,3,16.8,26,0
10.1,27.9,13,62,29,0,1,17,27.1,0
12.1,30.9,12.4,67,20,1,4,19.7,30.7,0
10.1,31.2,13.1,45,16,0,1,18.7,30.4,0
12.4,32.1,11.1,70,22,0,3,19.1,30.7,0
13.8,31.2,8.4,72,23,7,6,20.2,29.8,0
11.7,30,10.1,59,26,1,5,20.1,28.6,1
12.4,32.3,13,60,25,1,3,20.2,31.2,0
15.6,33.4,10.4,61,27,0,1,22.8,32,0
15.3,33.4,9.5,60,26,1,5,22.2,32.8,0
16.4,19.4,0,88,72,8,8,16.5,18.3,0
12.8,18.5,0.6,91,79,8,8,14,16.8,1
12,24.3,7.5,74,57,7,5,17.8,22.8,0
15.4,28.4,8.1,85,31,8,2,16.8,27.3,0
15.6,26.9,8.9,65,48,2,4,19.8,25.1,0
13.3,22.2,2.3,70,55,7,7,16.5,21.2,0
12.9,28,10.7,61,31,5,7,18.8,26.7,0
15.1,24.3,0.4,69,80,7,7,18.9,19.7,0
13.6,24.1,0.5,83,49,8,7,17.3,23.2,0
15.1,20.4,0.2,82,90,8,8,17,16.3,1
11.6,26.3,12,66,46,2,2,16.7,25.2,1
16.6,24.2,4.7,72,60,7,7,20.5,19.9,0
13.3,26.5,11.8,74,40,5,2,18.8,25.1,1
14.5,21.8,9.8,69,63,7,1,18.6,20.5,0
16.3,26.8,6.3,78,54,8,7,18.6,24.5,0
17.2,25.8,8.8,70,74,6,7,21.5,22.6,0
16.5,28.2,8.8,76,42,8,1,18,26.3,1
15,29.4,11.1,78,24,7,7,20.6,28.6,0
14.9,24.8,10,58,37,7,7,19.3,22.9,0
11.8,18.5,2.3,60,63,8,6,13.8,16.4,0
11.7,21.5,7.3,66,51,7,5,15.7,19.4,0
9.6,20.3,3.6,70,49,7,7,15.8,19.2,0
8.9,27.1,12.7,63,37,1,2,15.8,25,0
10.1,29.9,8.8,63,36,1,8,17.4,29.1,0
15.5,21.1,0.9,93,86,8,8,16.6,20,1
10.8,21.7,10.6,59,40,1,4,15.3,20.8,1
7.5,20.9,8.7,61,43,6,7,15.3,19.8,0
12.8,21,0.8,72,54,8,8,16.1,20,0
12.6,23.1,2.3,97,74,8,7,15.3,20.4,1
14.8,29.5,8.1,81,48,2,7,21,28.2,1
19.9,22,5.9,92,62,8,3,20.6,19.6,1
9.2,20.4,10.2,59,49,1,7,14.9,18.8,1
12.4,24.4,12.1,69,43,6,4,15,22.5,0
11.3,21.7,5.6,67,52,8,3,12.4,21,1
9.8,26.3,13,63,35,1,1,15.3,23.9,0
14.3,26.7,7.1,68,64,7,7,19.8,19,0
15.1,28.3,13.2,73,44,1,5,18.3,27.4,1
14.4,31.6,13.6,65,30,0,2,21.5,30.3,0
15.4,35,13,55,18,1,1,23.4,34.3,0
13.8,33.5,13.6,44,20,0,1,21.9,32.2,0
13.6,34.2,12.8,50,20,7,6,21.9,31.8,0
14.3,35,10.5,43,14,0,1,23,33.6,0
15.9,23.4,2.2,69,55,8,7,19.2,22.3,0
16.7,25.3,12.5,56,45,6,7,20.3,23.9,0
12.1,27.5,11.7,69,40,7,2,18.6,26.8,0
14.3,34.1,10.5,77,34,1,1,18.9,31.9,0
16.5,33.9,12.6,60,36,1,1,20.8,31.3,0
16.5,30.3,8.1,77,44,7,1,18.1,28,0
17.5,29.9,8.8,74,45,8,1,19.3,27.9,0
14.7,34.2,12.8,64,25,1,1,21.3,32.2,0
17.5,35.8,13.3,56,24,0,1,24.7,34.5,0
20.9,35.7,6.9,61,28,7,2,23.6,34,0
17,33.8,13.5,65,35,2,3,23,31.8,1
16,22.8,6,70,57,8,6,17,21.6,0
15.4,33.8,11.1,70,26,7,1,18,31.7,0
17.9,33.2,8.4,58,62,6,7,24.5,23.5,0
15.2,25.1,11.6,62,42,1,1,17.1,23.9,1
15.1,20.4,0.1,63,55,8,8,17.8,19.4,0
15.3,19.6,0,92,88,8,8,18,18.6,1
17.2,24.7,8.1,80,71,7,8,19.4,21.9,1
15.9,19.9,1.6,73,58,8,7,17.4,18.6,0
10,22.5,11.6,55,46,1,2,14.7,22.2,0
9.9,24.4,10.8,60,38,1,4,16.2,22.7,0
10.3,27.8,9.9,64,29,3,6,17,26.3,0
15.4,25.7,8.2,67,32,7,7,17.6,24.6,0
12.7,28.8,9,70,28,1,5,18.3,28.3,0
13.2,31.3,11.6,71,28,1,4,19.7,30.7,0
15.3,33.2,13.2,60,18,0,1,22.4,32.1,0
17.9,33.9,11.8,72,22,1,1,19.8,32.3,0
18,34.9,9.9,68,29,1,6,22.2,33.1,0
17.6,27.8,3.6,66,49,7,8,21.4,26.3,1
16,23.8,6.2,73,49,8,7,16.5,22.9,1
14.9,28.8,8.1,71,44,7,2,19.1,27,0
17.1,29.6,9.2,67,38,6,7,21.7,29.1,0
18.2,22.6,0,92,76,8,8,18.5,22.1,1
16.8,22.8,0.3,88,71,8,8,18.4,21.5,1
13.6,27.4,8,77,41,4,7,18.7,26.5,0
14.5,24.2,5.9,76,76,7,7,17.9,20.3,0
12.4,19.9,5.6,75,58,7,7,13.6,18.7,1
10.4,20.9,8.9,65,51,6,6,13.8,18.7,0
9.1,23.1,9.6,66,37,1,7,14,21.4,0
8.9,26,10.7,74,34,1,5,14.6,24.2,0
14.5,24.2,5.9,95,60,8,5,15.8,22.6,1
12.6,18.2,0.4,81,73,7,8,16.3,16.8,1
8.6,24.2,12.7,63,37,1,1,13.7,22,0
10.8,25.2,12.6,69,32,1,1,15,24.3,0
11.2,26.1,12.6,71,40,1,1,15.3,24.7,0
12.1,24.1,10.2,64,46,7,1,15.4,22.5,0
10.8,25.8,11.7,72,42,5,4,17.2,24.1,0
11.4,27.1,12.1,69,38,1,2,16.9,26.1,0
12,28.9,8.2,78,31,2,7,17.4,28.6,0
16.3,24.8,3.8,88,56,7,7,17.5,24,1
12.7,28.6,8.6,78,42,5,5,16.5,27.4,1
12.7,25.1,12.4,57,32,1,1,15.7,24.5,0
12,23.8,12.4,54,34,0,1,15.1,22.9,0
11.5,25.9,10.2,70,35,6,2,15.8,24.3,0
13,28.2,11.6,74,27,3,6,17.4,27,0
11.7,27.6,8.1,74,25,2,6,17.6,26.8,0
14.8,17.3,0.8,74,78,7,7,15.7,15.3,0
7.7,18.4,12,58,34,5,1,10.6,16.8,1
4.4,21.8,12.1,60,31,1,1,11.7,20,0
7.4,24.4,11.6,65,37,0,2,12.2,22.1,0
8.3,27.3,10.1,78,28,1,1,13.8,25.5,0
10.1,28.2,7.3,72,28,1,7,15.6,27,0
12,27.6,11,69,35,1,1,15.7,26.2,0
12.9,31.8,11.3,76,24,2,3,17.4,30,0
10.8,29.2,7.5,56,34,0,7,17.5,27.7,0
9.5,27.4,11.5,79,39,1,7,14,24.9,1
12.1,27.8,11.5,66,33,0,1,17.8,27,0
12.5,31.7,11.2,74,28,1,1,17.2,30.1,0
13.9,34.7,8.5,50,18,0,3,20.2,32.7,0
13.3,31.7,11,80,23,2,5,17.5,30.7,0
13.2,33.1,9.7,91,18,7,1,16.1,31.7,0
12.3,33.8,11.3,57,15,0,1,17.9,32.7,0
13.8,35.2,11.2,47,15,5,2,21.4,34.1,0
11.3,32.3,11.4,44,17,5,2,18.2,30.5,0
11.7,30.2,11.2,73,22,1,0,17.7,28.8,0
12.5,29.9,10.7,76,30,0,1,16.8,29.2,0
15.1,26.2,9.8,59,48,1,4,19.7,24.5,0
11.5,29.3,8,76,35,7,7,17.1,27.6,0
13,14.8,0,77,62,7,8,13.3,13.9,0
11.6,19.6,1.6,71,64,7,8,14,17.9,0
12.8,24.9,6.2,76,44,7,6,15.5,24.2,0
15.5,22.4,1.9,89,68,8,7,17.1,21.1,0
13.1,17.4,0,94,93,8,8,16.4,16.6,1
12.6,20.2,9.1,76,50,5,4,15.1,17.4,1
4.4,18.3,9.6,80,36,1,2,8.4,17.4,0
4.4,18.2,11,78,35,1,3,9.2,17.2,0
7.1,18.5,10,90,30,6,6,8.8,18.2,0
4.2,18.9,10.8,60,34,3,2,11.2,18.1,0
9.6,18.8,10,54,42,2,5,13.1,16.5,0
3.5,21.8,10.3,72,34,0,1,8.7,21.2,0
5.3,23.3,5.6,90,26,1,8,9.5,22.5,0
7,14.3,9.7,68,40,1,3,9.1,13.7,1
0.4,18.9,9.6,77,33,0,1,5.2,17.6,0
3.2,21.4,10.6,76,27,0,1,8.2,20.5,0
5.9,21.8,9.3,70,35,1,5,12.9,20.8,0
8.1,20.5,7.8,66,48,1,5,14.9,19.5,0
